site_code,cluster_id,display_point.coordinates.latitude,main_address.structured_address.postal_code,display_point.source,main_address.structured_address.country_code,business_status.closed_date,hours,apple_categories.0,names.0.name,business_status.status,main_address.structured_address.state_province,main_address.structured_address.floor,phone_number.number,names.0.locale,main_address.structured_address.locality,main_address.structured_address.street_address.0,display_point.coordinates.longitude,names.0.name_preprocessed,name.set,pair_id,product,brand
c28a4519-c4e0-46aa-82c0-1cfba68c27ab,27566,-6.27214904,17522.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-21:00,beauty_and_spa.beauty_service.beauty_salon.hair_salon.mens_hair_salon.barber_shop,Pangkas Rambut Asgar,OPEN,Jawa Barat,,,en-ID,Bekasi Kabupaten,Jalan Cibuntu Asem,107.0693409,pangkas rambut asgar,"{'a', ' ', 'g', 'n', 't', 'b', 'k', 'p', 's', 'r', 'm', 'u'}",15981,,
332a855b-39f8-45be-b534-5fb3e251eb43,27622,-6.28467559,15731.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Kelontong,OPEN,Banten,1.0,,en-ID,Tangerang Kabupaten,Jalan Raya Munjul,106.4534141,toko kelontong,"{' ', 'o', 'g', 't', 'n', 'l', 'k', 'e'}",16005,,
4e2159bb-2f1c-47f0-adc1-caebb33101e9,27622,-6.28518373,15730.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Kelontong,OPEN,Banten,,,en-ID,Tangerang Kabupaten,Jalan Raya Munjul,106.4528867,toko kelontong,"{' ', 'o', 'g', 't', 'n', 'l', 'k', 'e'}",16005,,
33815d89-2403-4e4e-92cf-abe7bad7f648,27657,-2.90931962,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,shopping.store.electronics_store.mobile_phone_store,Bee Cell,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Harun Sohar,104.7224786,bee cell,"{' ', 'l', 'b', 'e', 'c'}",16019,,
44c5edeb-39a9-498a-84fa-a0cb5cd6bcd4,27657,-2.9088423,30151.0,MANUALLY_PLACED,ID,,,shopping.store.electronics_store.mobile_phone_store,Bee Cell,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Harun Sohar,104.7218987,bee cell,"{' ', 'l', 'b', 'e', 'c'}",16020,,
33a60dfa-3702-4295-b9f3-31bbb20877d6,27667,-2.92769675,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-09:00,beauty_and_spa.beauty_service,Merry Salon,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Perindustrian I,104.717311,merry salon,"{' ', 'a', 'o', 'n', 'l', 'e', 'y', 's', 'r', 'm'}",16025,,
940a91ea-b904-4e9e-aebf-46c58ed5d793,27667,-2.92766175,30153.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Merry Salon Sukarami,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Perindustrian 1,104.7173134,merry salon sukarami,"{' ', 'a', 'o', 'i', 'n', 'l', 'k', 'e', 'y', 's', 'r', 'm', 'u'}",16026,,
33a60dfa-3702-4295-b9f3-31bbb20877d6,27667,-2.92769675,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-09:00,beauty_and_spa.beauty_service,Merry Salon,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Perindustrian I,104.717311,merry salon,"{' ', 'a', 'o', 'n', 'l', 'e', 'y', 's', 'r', 'm'}",16025,,
fbe03a84-1d75-478f-9c33-ff4c236445b7,27667,-2.92733977,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,beauty_and_spa.beauty_service,Merry Salon,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Perindustrian I,104.7174453,merry salon,"{' ', 'a', 'o', 'n', 'l', 'e', 'y', 's', 'r', 'm'}",16026,,
33f15037-9173-4b3b-b1f2-90f74a8a67ab,27695,-2.9847085,30139.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-21:00,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,RM. Pesisir Indah,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Lunjuk Jaya,104.7311257,rumah makan  pesisir indah,"{'a', ' ', 'i', 'h', 'n', 'd', 'k', 'e', 'p', 's', 'r', 'm', 'u'}",16035,,
51ac27c9-6503-4c7c-a68a-71844cccbd07,27695,-2.98469722,30139.0,MANUALLY_PLACED,ID,,,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,RM. Pesisir Indah Masakan Padang,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Lunjuk Jaya,104.7311044,rumah makan  pesisir indah masakan padang,"{'a', ' ', 'i', 'g', 'h', 'n', 'd', 'k', 'e', 'p', 's', 'r', 'm', 'u'}",16036,,
3478fc45-5ae2-4ea5-aa99-1bcafe21e2c0,27744,3.56591918,20228.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Chris Salon & Studio Foto,OPEN,Sumatra Utara,,,en-ID,Medan,Jalan Panglima Denai,98.7227823,chris salon   studio foto,"{' ', 'a', 'i', 'o', 'f', 'h', 'n', 't', 'd', 'l', 'c', 's', 'r', 'u'}",16065,,
6c9cf584-d104-4ebf-91cc-dbbd1128b122,27744,3.56593108,20228.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Chris Salon,OPEN,Sumatra Utara,1.0,,en-ID,Medan,Jalan Medan Tenggara No.7,98.72278733,chris salon,"{' ', 'a', 'i', 'o', 'h', 'n', 'l', 'c', 's', 'r'}",16066,,
6c9cf584-d104-4ebf-91cc-dbbd1128b122,27744,3.56593108,20228.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Chris Salon,OPEN,Sumatra Utara,1.0,,en-ID,Medan,Jalan Medan Tenggara No.7,98.72278733,chris salon,"{' ', 'a', 'i', 'o', 'h', 'n', 'l', 'c', 's', 'r'}",16066,,
fc11f617-6085-468c-a0de-99dde99b9083,27744,3.56562328,20228.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Salon,OPEN,Sumatra Utara,,,en-ID,Medan,Jalan Medan Tenggara VII,98.72271619,salon,"{'a', 'o', 'n', 'l', 's'}",16066,,
36554ef6-92ad-478a-8fbf-788e35bce3aa,27913,-6.44942009,16920.0,MANUALLY_PLACED,ID,,,shopping.store.electronics_store.mobile_phone_store,Galaxy Big Cell,OPEN,Jawa Barat,1.0,,en-ID,Bogor Kabupaten,Jalan Gang Jalak,106.8054876,galaxy big cell,"{'x', 'a', ' ', 'g', 'l', 'b', 'e', 'c', 'y', 'i'}",16158,,
82d31060-5606-4c70-b71b-a80d67e0e523,27913,-6.44938115,16920.0,MANUALLY_PLACED,ID,,,shopping.store.electronics_store.mobile_phone_store,Galaxy Cell,OPEN,Jawa Barat,,,en-ID,Bogor Kabupaten,Jalan Kp. Panjang,106.8054537,galaxy cell,"{'x', 'a', ' ', 'g', 'l', 'e', 'c', 'y'}",16158,,
d706d64d-8316-42cb-98eb-12f3e2f99ace,28141,-2.9254494,30151.0,MANUALLY_PLACED,ID,,,consumer_sector.financial_service.banking_service.bank,Bank BCA,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Kol. H. Burlian,104.7132541,bank bca,"{'a', ' ', 'n', 'b', 'k', 'c'}",16297,4,
b7ffcb83-9000-42b0-a616-a0e5cf39aff0,28141,-2.92527812,30151.0,MANUALLY_PLACED,ID,,,consumer_sector.financial_service.banking_service.bank,Bank BCA,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Kolonel Haji Burlian,104.7134908,bank bca,"{'a', ' ', 'n', 'b', 'k', 'c'}",16298,4,
3960235d-6344-4d1b-b06c-7db31e32d030,28171,-2.91344762,30154.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Ance Salon,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Sultan Mahmud Badaruddin 2,104.688237,ance salon,"{'a', ' ', 'o', 'n', 'l', 'e', 'c', 's'}",16319,,
6a31b61c-3da4-415f-89b9-dd7561d495f7,28171,-2.91311001,30154.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service,Ance Salon,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Lintas Sumatra,104.6874777,ance salon,"{'a', ' ', 'o', 'n', 'l', 'e', 'c', 's'}",16320,,
3a98f425-d216-42ae-bf30-a871c01a9731,28286,-2.941947,30151.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.printing_and_copy_service.copy_shop,Toko Eci,OPEN,Sumatra Selatan,2.0,,en-ID,Palembang,Jalan Kelapa Gading Raya,104.688207,toko eci,"{' ', 'o', 't', 'k', 'e', 'c', 'i'}",16384,,
0ffe47d8-b2f6-46a0-af65-b6ea4f195165,28286,-2.9419304,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,consumer_sector.local_service.printing_and_copy_service.copy_shop,Toko Eci Fotocopy,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Kelapa Gading Raya,104.6882336,toko eci fotocopy,"{' ', 'o', 'f', 't', 'y', 'k', 'e', 'c', 'p', 'i'}",16385,,
51a6567f-3b62-4bdc-a81b-b5ff2903aca2,28286,-2.94194277,30151.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.printing_and_copy_service.copy_shop,Foto Copy Eci,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Unnamed Road,104.6882313,fotocopy eci,"{' ', 'o', 'f', 't', 'y', 'e', 'c', 'p', 'i'}",16385,,
0ffe47d8-b2f6-46a0-af65-b6ea4f195165,28286,-2.9419304,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,consumer_sector.local_service.printing_and_copy_service.copy_shop,Toko Eci Fotocopy,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Kelapa Gading Raya,104.6882336,toko eci fotocopy,"{' ', 'o', 'f', 't', 'y', 'k', 'e', 'c', 'p', 'i'}",16385,,
